emp,wage,unem,cpi,minwage
270.6,0.86,,21.5,0.4
272.4,0.86,,21.5,0.4
268.6,0.86,,21.9,0.4
262.6,0.86,,21.9,0.4
258,0.87,,21.9,0.4
255.8,0.87,,22,0.4
246.8,0.87,,22.2,0.4
259.9,0.86,,22.5,0.4
264.4,0.88,,23,0.4
268.5,0.89,,23,0.4
270.3,0.89,,23.1,0.4
270.9,0.92,,23.4,0.4
268.4,0.91,3,23.7,0.4
272.6,0.91,3.4,23.5,0.4
274.3,0.91,3.1,23.4,0.4
272.1,0.91,3.1,23.8,0.4
270.7,0.92,2.4,23.9,0.4
269.6,0.91,2,24.1,0.4
254.8,0.92,2.4,24.4,0.4
264.5,0.91,2.5,24.5,0.4
266.7,0.93,2.4,24.5,0.4
267.1,0.92,1.9,24.4,0.4
264.6,0.93,2.4,24.2,0.4
254.8,0.93,2.6,24.1,0.4
244.1,0.94,4.1,24,0.4
260.6,0.92,4.7,23.8,0.4
262.4,0.93,4.7,23.8,0.4
261.5,0.92,4.4,23.9,0.4
260.5,0.92,4.4,23.8,0.4
257.4,0.92,4.3,23.9,0.4
243.2,0.92,5,23.7,0.4
257.7,0.9,4.7,23.8,0.4
269.8,0.92,4.4,23.9,0.4
276.5,0.92,5.3,23.7,0.4
276.1,0.92,4.5,23.8,0.4
271.5,0.92,5,23.6,0.4
265.7,0.93,6.1,23.5,0.4
268.6,0.98,6.3,23.5,0.75
270.6,0.98,5.9,23.6,0.75
267.5,0.99,5.2,23.6,0.75
265.1,0.98,4.1,23.7,0.75
264.5,0.98,3.4,23.8,0.75
258.8,0.98,3.8,24.1,0.75
280.9,0.99,3,24.3,0.75
283.1,0.99,2.7,24.4,0.75
284.5,1,2.3,24.6,0.75
283,1.02,2.4,24.7,0.75
281,1.04,2.9,25,0.75
281.7,1.06,3.2,25.4,0.75
290.2,1.06,2.9,25.7,0.75
294.2,1.07,2.5,25.8,0.75
292.3,1.06,2,25.8,0.75
283.1,1.05,1.8,25.9,0.75
275.1,1.05,1.8,25.9,0.75
